,student_id,gender,age,prior_education,course_of_studies,year_of_study,nationality,parent_one_nationality,parent_two_nationality,parent_one_occupation,parent_two_occupation,previous_international_experience,languages
37,10000037,I would rather not say,19,MBO,International business,4,Japanese,Chinese,Chinese,Doctor,Engineer,Internship in a foreign country,"['English', 'Japanese']"
38,10000038,I would rather not say,24,Gymnasium,International business,3,Korean,Spain,Korean,Life coach,Life coach,,"['English', 'Korean']"
39,10000039,I would rather not say,23,VWO,International business,3,Dutch,German,Chinese,Life coach,Gardener,Gap year,"['Dutch', 'English']"
40,10000040,I would rather not say,19,HAVO,International business,1,German,Korean,Dutch,Life coach,Politician,Exchange student,"['English', 'German', 'French']"
41,10000041,I would rather not say,21,Gymnasium,International business,0,South-African,German,Chinese,Doctor,Engineer,Worked in a foreign country,"['Dutch', 'English']"
42,10000042,I would rather not say,19,HAVO,International business,4,German,Korean,Dutch,Politician,,,"['English', 'German', 'French']"
43,10000043,I would rather not say,20,HAVO,International business,0,Korean,Spain,Korean,Life coach,Life coach,Internship in a foreign country,"['English', 'Korean']"
44,10000044,I would rather not say,22,VWO,International business,2,German,Chinese,Chinese,Engineer,,Gap year,"['English', 'German']"
45,10000045,I would rather not say,21,MBO,International business,3,Spain,Dutch,British,Politician,Life coach,,"['English', 'Spanish']"
46,10000046,I would rather not say,18,HAVO,International business,1,German,Spain,British,Life coach,Doctor,Exchange student,"['English', 'German', 'French']"
47,10000047,I would rather not say,19,VWO,International business,2,British,Dutch,German,Life coach,Marine,Worked in a foreign country,['English']
48,10000048,I would rather not say,21,VWO,International business,3,Spain,Korean,Dutch,Taxi driver,Gardener,Gap year,"['English', 'Spanish']"
49,10000049,I would rather not say,23,HAVO,International business,1,Belgium,Dutch,Belgium,Politician,Marine,,"['English', 'English', 'French']"
50,10000050,I would rather not say,18,HAVO,International business,0,German,British,USA,Marine,,Worked in a foreign country,"['English', 'German']"
51,10000051,I would rather not say,17,MBO,International business,1,Japanese,Belgium,Dutch,Politician,,Gap year,"['English', 'Japanese']"
52,10000052,I would rather not say,18,VWO,International business,1,Spain,South-African,South-African,Engineer,Taxi driver,Internship in a foreign country,"['English', 'Spanish']"
53,10000053,I would rather not say,21,HAVO,International business,4,Belgium,Belgium,USA,Engineer,Politician,Internship in a foreign country,"['English', 'English']"
54,10000054,I would rather not say,20,VWO,International business,4,Japanese,Korean,Korean,Doctor,,Internship in a foreign country,"['English', 'Japanese']"
55,10000055,Male,23,VWO,International business,0,Chinese,Spain,South-African,Doctor,Taxi driver,Gap year,"['English', 'Mandarin']"
56,10000056,I would rather not say,18,MBO,International business,4,Chinese,Spain,Spain,Taxi driver,Gardener,Exchange student,"['English', 'Mandarin']"
57,10000057,I would rather not say,21,HAVO,International business,1,Chinese,Chinese,Spain,Gardener,Marine,Internship in a foreign country,"['English', 'Mandarin']"
58,10000058,I would rather not say,24,VWO,International business,1,Korean,German,Japanese,Engineer,Politician,Internship in a foreign country,"['English', 'Korean']"
59,10000059,I would rather not say,21,MBO,International business,0,Spain,USA,South-African,Gardener,Marine,Internship in a foreign country,"['English', 'Spanish']"
60,10000060,I would rather not say,19,HAVO,International business,0,Korean,Japanese,USA,Gardener,,Exchange student,"['English', 'Korean']"
61,10000061,I would rather not say,18,Gymnasium,International business,1,Korean,USA,USA,Politician,Life coach,,"['English', 'Korean']"
62,10000062,I would rather not say,24,Gymnasium,International business,1,German,Chinese,British,Gardener,Gardener,Exchange student,"['English', 'German']"
63,10000063,I would rather not say,17,HAVO,International business,2,USA,British,Spain,,Politician,Gap year,"['English', 'Spanish']"
64,10000064,I would rather not say,20,HAVO,International business,3,Belgium,Japanese,Korean,Doctor,Engineer,,"['English', 'English', 'French']"
65,10000065,I would rather not say,22,Gymnasium,International business,0,Korean,British,Japanese,Engineer,,Exchange student,"['English', 'Korean']"
66,10000066,I would rather not say,21,Gymnasium,International business,4,German,South-African,German,Doctor,Taxi driver,Worked in a foreign country,"['English', 'German']"
67,10000067,I would rather not say,23,Gymnasium,International business,4,Chinese,German,Korean,Gardener,Marine,,"['English', 'Mandarin']"
68,10000068,I would rather not say,17,VWO,International business,2,Dutch,Chinese,USA,Taxi driver,Gardener,Worked in a foreign country,"['Dutch', 'English']"
69,10000069,I would rather not say,21,VWO,International business,0,Korean,USA,Belgium,Marine,Life coach,Exchange student,"['English', 'Korean']"
70,10000070,I would rather not say,18,MBO,International business,2,Spain,Dutch,Belgium,Doctor,Doctor,,"['English', 'Spanish']"
71,10000071,I would rather not say,22,HAVO,International business,4,USA,Spain,Japanese,Marine,Marine,Gap year,['English']
72,10000072,I would rather not say,18,Gymnasium,International business,4,Spain,Spain,Japanese,Doctor,Doctor,,"['English', 'Spanish']"
73,10000073,I would rather not say,21,Gymnasium,International business,3,Spain,British,British,Doctor,Marine,Worked in a foreign country,"['English', 'Spanish']"
74,10000074,I would rather not say,21,HAVO,International business,1,Korean,German,Korean,Politician,Doctor,Gap year,"['English', 'Korean']"
75,10000075,I would rather not say,22,HAVO,International business,2,British,USA,USA,Gardener,Doctor,,['English']
76,10000076,I would rather not say,18,MBO,International business,4,Dutch,Korean,Belgium,Gardener,Politician,,"['Dutch', 'English', 'German']"
77,10000077,I would rather not say,20,Gymnasium,International business,4,British,South-African,Spain,Gardener,Engineer,Internship in a foreign country,['English']
78,10000078,I would rather not say,17,HAVO,International business,3,German,Chinese,Belgium,Engineer,Politician,Internship in a foreign country,"['English', 'German']"
79,10000079,I would rather not say,18,Gymnasium,International business,0,Spain,Japanese,Chinese,Life coach,Taxi driver,Gap year,"['English', 'Spanish']"
80,10000080,I would rather not say,22,HAVO,International business,1,Korean,Japanese,South-African,Engineer,Taxi driver,Gap year,"['English', 'Korean']"
81,10000081,I would rather not say,17,MBO,International business,4,British,Belgium,USA,Gardener,Marine,,['English']
82,10000082,I would rather not say,18,Gymnasium,International business,4,South-African,Japanese,German,Engineer,Doctor,Gap year,"['Dutch', 'English']"
83,10000083,I would rather not say,18,HAVO,International business,1,Spain,Dutch,Chinese,Life coach,Taxi driver,Internship in a foreign country,"['English', 'Spanish']"
84,10000084,I would rather not say,17,Gymnasium,International business,3,British,Spain,German,,Doctor,Internship in a foreign country,['English']
85,10000085,I would rather not say,17,MBO,International business,4,Dutch,South-African,British,Life coach,Life coach,Internship in a foreign country,"['Dutch', 'English']"
86,10000086,I would rather not say,24,VWO,International business,1,Korean,USA,German,Marine,Doctor,Gap year,"['English', 'Korean']"
87,10000087,I would rather not say,19,MBO,International business,3,Chinese,Dutch,Dutch,Life coach,Life coach,Gap year,"['English', 'Mandarin']"
88,10000088,I would rather not say,24,MBO,International business,3,Belgium,Spain,Spain,,Doctor,Internship in a foreign country,"['English', 'English', 'French']"
89,10000089,I would rather not say,23,VWO,International business,4,Japanese,German,Dutch,Life coach,Doctor,,"['English', 'Japanese']"
90,10000090,I would rather not say,20,VWO,International business,1,USA,Japanese,German,Politician,Politician,,['English']
91,10000091,I would rather not say,19,HAVO,International business,3,Chinese,Spain,South-African,Gardener,Marine,Exchange student,"['English', 'Mandarin']"
92,10000092,I would rather not say,20,VWO,International business,1,German,USA,Japanese,Engineer,Taxi driver,Gap year,"['English', 'German', 'French']"
93,10000093,I would rather not say,18,MBO,International business,1,Dutch,Chinese,USA,Marine,Gardener,Internship in a foreign country,"['Dutch', 'English', 'German']"
94,10000094,I would rather not say,19,MBO,International business,0,Japanese,Chinese,British,Taxi driver,Politician,Gap year,"['English', 'Japanese']"
95,10000095,I would rather not say,20,VWO,International business,4,Japanese,British,South-African,Taxi driver,Marine,Gap year,"['English', 'Japanese']"
96,10000096,I would rather not say,22,Gymnasium,International business,2,Chinese,Belgium,Belgium,Doctor,Engineer,Exchange student,"['English', 'Mandarin']"
97,10000097,I would rather not say,19,Gymnasium,International business,4,German,USA,Japanese,Life coach,Marine,Exchange student,"['English', 'German']"
98,10000098,I would rather not say,17,MBO,International business,1,Dutch,Korean,Japanese,,Engineer,Gap year,"['Dutch', 'English', 'German']"
99,10000099,I would rather not say,19,HAVO,International business,3,Korean,German,Dutch,Life coach,Taxi driver,,"['English', 'Korean']"
100,10000100,I would rather not say,18,VWO,International business,3,Japanese,Belgium,Dutch,Engineer,Gardener,Worked in a foreign country,"['English', 'Japanese']"
101,10000101,I would rather not say,24,Gymnasium,International business,1,Korean,German,Belgium,Marine,Taxi driver,,"['English', 'Korean']"
102,10000102,I would rather not say,24,VWO,International business,2,Japanese,Spain,USA,Engineer,Doctor,Gap year,"['English', 'Japanese']"
103,10000103,I would rather not say,17,VWO,International business,0,Chinese,Chinese,South-African,Gardener,Engineer,Worked in a foreign country,"['English', 'Mandarin']"
104,10000104,I would rather not say,20,HAVO,International business,4,Belgium,Korean,Chinese,Marine,Marine,Exchange student,"['English', 'German']"
105,10000105,Female,17,HAVO,International business,3,Japanese,British,Korean,,Politician,Internship in a foreign country,"['English', 'Japanese']"
106,10000106,I would rather not say,23,HAVO,International business,1,Spain,British,Spain,,Politician,Exchange student,"['English', 'Spanish']"
107,10000107,I would rather not say,23,Gymnasium,International business,0,Chinese,Japanese,Japanese,Politician,,Internship in a foreign country,"['English', 'Mandarin']"
108,10000108,I would rather not say,21,HAVO,International business,2,USA,Belgium,Belgium,Doctor,,Exchange student,['English']
109,10000109,I would rather not say,18,HAVO,International business,4,Belgium,Korean,USA,Gardener,Taxi driver,Internship in a foreign country,"['English', 'French']"
110,10000110,I would rather not say,23,VWO,International business,1,German,USA,USA,Doctor,Marine,Internship in a foreign country,"['English', 'German', 'French']"
111,10000111,I would rather not say,18,MBO,International business,1,Chinese,Japanese,Chinese,Gardener,Marine,Exchange student,"['English', 'Mandarin']"
112,10000112,I would rather not say,18,MBO,International business,2,South-African,Spain,Spain,Taxi driver,Politician,,"['Dutch', 'English']"
113,10000113,I would rather not say,20,Gymnasium,International business,1,Korean,British,Belgium,Life coach,Doctor,Gap year,"['English', 'Korean']"
114,10000114,I would rather not say,24,Gymnasium,International business,2,USA,Korean,Korean,Marine,Engineer,Gap year,['English']
115,10000115,I would rather not say,19,Gymnasium,International business,0,Belgium,Korean,Korean,Gardener,Life coach,Worked in a foreign country,"['English', 'French']"
116,10000116,I would rather not say,22,HAVO,International business,1,Spain,South-African,Korean,Life coach,Politician,Gap year,"['English', 'Spanish']"
117,10000117,I would rather not say,22,Gymnasium,International business,2,Belgium,Belgium,South-African,Politician,Doctor,Exchange student,"['English', 'French']"
118,10000118,I would rather not say,22,HAVO,International business,3,South-African,British,Dutch,Politician,Life coach,Internship in a foreign country,"['Dutch', 'English']"
119,10000119,I would rather not say,23,MBO,International business,1,Chinese,South-African,Chinese,Taxi driver,,Exchange student,"['English', 'Mandarin']"
120,10000120,Male,18,MBO,International business,1,Dutch,Korean,Korean,Taxi driver,Marine,Worked in a foreign country,"['Dutch', 'English']"
121,10000121,I would rather not say,23,MBO,International business,1,South-African,Korean,Belgium,,Gardener,,"['Dutch', 'English']"
122,10000122,Male,24,MBO,International business,1,Chinese,Belgium,German,Doctor,,Gap year,"['English', 'Mandarin']"
123,10000123,Male,23,Gymnasium,International business,1,USA,South-African,German,Doctor,Marine,Internship in a foreign country,['English']
124,10000124,I would rather not say,24,MBO,International business,4,Dutch,Chinese,German,Life coach,Life coach,Internship in a foreign country,"['Dutch', 'English', 'German']"
125,10000125,I would rather not say,17,MBO,International business,4,Japanese,Korean,British,Marine,Doctor,,"['English', 'Japanese']"
126,10000126,I would rather not say,21,MBO,International business,2,Belgium,Chinese,Spain,Politician,Gardener,Worked in a foreign country,"['English', 'English', 'French', 'German']"
127,10000127,Male,22,VWO,International business,3,Japanese,Chinese,German,Gardener,Politician,Worked in a foreign country,"['English', 'Japanese']"
128,10000128,I would rather not say,21,HAVO,International business,0,British,Korean,British,Life coach,Marine,Internship in a foreign country,['English']
129,10000129,I would rather not say,17,Gymnasium,International business,0,Chinese,USA,Dutch,Engineer,Life coach,Gap year,"['English', 'Mandarin']"
130,10000130,I would rather not say,19,VWO,International business,2,Chinese,British,Spain,Gardener,Engineer,Gap year,"['English', 'Mandarin']"
131,10000131,I would rather not say,22,Gymnasium,International business,3,USA,German,South-African,Politician,Doctor,Gap year,"['English', 'Spanish']"
132,10000132,I would rather not say,24,HAVO,International business,4,Japanese,British,Chinese,,Doctor,,"['English', 'Japanese']"
133,10000133,Female,22,Gymnasium,International business,2,South-African,Dutch,Spain,Marine,Life coach,Worked in a foreign country,"['Dutch', 'English']"
134,10000134,I would rather not say,18,MBO,International business,2,British,British,British,Doctor,Life coach,Internship in a foreign country,['English']
135,10000135,I would rather not say,20,VWO,International business,4,German,Belgium,South-African,Politician,Politician,Worked in a foreign country,"['English', 'German', 'French']"
136,10000136,I would rather not say,17,VWO,International business,2,German,Chinese,Spain,Politician,Engineer,Exchange student,"['English', 'German']"
137,10000137,I would rather not say,18,Gymnasium,International business,2,Dutch,USA,Dutch,Engineer,Marine,,"['Dutch', 'English']"
138,10000138,Male,21,Gymnasium,International business,0,German,British,German,Marine,Gardener,Exchange student,"['English', 'German']"
139,10000139,Female,22,VWO,International business,4,Japanese,Chinese,Belgium,Engineer,,,"['English', 'Japanese']"
140,10000140,I would rather not say,18,HAVO,International business,1,Chinese,Spain,Dutch,Taxi driver,,Exchange student,"['English', 'Mandarin']"
141,10000141,I would rather not say,18,MBO,International business,0,German,Dutch,Belgium,Gardener,Doctor,Internship in a foreign country,"['English', 'German', 'French']"
142,10000142,I would rather not say,19,MBO,International business,0,Korean,Japanese,British,Doctor,,Worked in a foreign country,"['English', 'Korean']"
143,10000143,I would rather not say,20,HAVO,International business,4,Korean,Japanese,Chinese,Marine,Taxi driver,Exchange student,"['English', 'Korean']"
144,10000144,I would rather not say,19,HAVO,International business,1,Dutch,Chinese,Chinese,Life coach,Politician,,"['Dutch', 'English', 'German']"
145,10000145,I would rather not say,19,Gymnasium,International business,3,Belgium,Japanese,Chinese,Life coach,Politician,Internship in a foreign country,"['English', 'French']"
146,10000146,Female,17,MBO,International business,4,German,USA,South-African,Taxi driver,Marine,Exchange student,"['English', 'German']"
147,10000147,I would rather not say,22,VWO,International business,3,Belgium,USA,Belgium,Life coach,Politician,,"['English', 'French']"
148,10000148,I would rather not say,21,HAVO,International business,0,USA,German,Chinese,Life coach,Life coach,Internship in a foreign country,['English']
149,10000149,Male,22,VWO,International business,1,German,German,Chinese,Taxi driver,Politician,Gap year,"['English', 'German', 'French']"
150,10000150,I would rather not say,22,VWO,International business,1,Dutch,Japanese,South-African,Gardener,Doctor,Gap year,"['Dutch', 'English', 'German']"
151,10000151,I would rather not say,20,Gymnasium,International business,0,Chinese,Korean,British,,Doctor,,"['English', 'Mandarin']"
152,10000152,I would rather not say,18,MBO,International business,1,Korean,Chinese,Chinese,Gardener,,Internship in a foreign country,"['English', 'Korean']"
153,10000153,I would rather not say,20,MBO,International business,1,USA,Korean,Dutch,Taxi driver,Taxi driver,Internship in a foreign country,['English']
154,10000154,I would rather not say,22,MBO,International business,0,Dutch,German,German,Taxi driver,Doctor,Exchange student,"['Dutch', 'English', 'German']"
155,10000155,I would rather not say,17,HAVO,International business,1,Korean,British,USA,Doctor,Politician,Gap year,"['English', 'Korean']"
156,10000156,I would rather not say,23,VWO,International business,2,Dutch,USA,German,,Gardener,Worked in a foreign country,"['Dutch', 'English', 'German']"
157,10000157,I would rather not say,23,VWO,International business,4,British,Chinese,Japanese,Engineer,Gardener,Gap year,['English']
158,10000158,I would rather not say,24,MBO,International business,0,German,Japanese,Chinese,Life coach,Marine,Worked in a foreign country,"['English', 'German']"
159,10000159,Female,17,HAVO,International business,4,South-African,Spain,Spain,Doctor,Life coach,Exchange student,"['Dutch', 'English']"
160,10000160,I would rather not say,21,MBO,International business,1,German,Dutch,Spain,Marine,Taxi driver,Internship in a foreign country,"['English', 'German']"
161,10000161,Male,22,VWO,International business,3,Chinese,German,Chinese,,Engineer,Internship in a foreign country,"['English', 'Mandarin']"
162,10000162,I would rather not say,17,Gymnasium,International business,4,Japanese,Spain,Spain,Doctor,Marine,Worked in a foreign country,"['English', 'Japanese']"
163,10000163,I would rather not say,21,Gymnasium,International business,0,Dutch,Belgium,USA,,Politician,Worked in a foreign country,"['Dutch', 'English']"
164,10000164,Female,22,HAVO,International business,0,Chinese,German,Spain,,Life coach,,"['English', 'Mandarin']"
165,10000165,I would rather not say,24,MBO,International business,4,Chinese,South-African,Korean,Gardener,Engineer,Exchange student,"['English', 'Mandarin']"
166,10000166,I would rather not say,20,HAVO,International business,1,German,South-African,British,Marine,Politician,Internship in a foreign country,"['English', 'German', 'French']"
167,10000167,Female,21,MBO,International business,0,South-African,Dutch,Belgium,Politician,Marine,Worked in a foreign country,"['Dutch', 'English']"
168,10000168,I would rather not say,18,MBO,International business,4,Belgium,Chinese,Chinese,Doctor,Doctor,,"['English', 'French']"
169,10000169,I would rather not say,22,Gymnasium,International business,0,USA,Spain,German,Politician,Engineer,Internship in a foreign country,"['English', 'Spanish']"
170,10000170,I would rather not say,20,HAVO,International business,2,South-African,Spain,British,Engineer,Taxi driver,Worked in a foreign country,"['Dutch', 'English']"
171,10000171,I would rather not say,24,Gymnasium,International business,4,Spain,German,British,Doctor,Politician,Internship in a foreign country,"['English', 'Spanish']"
172,10000172,I would rather not say,24,MBO,International business,1,South-African,Dutch,USA,Life coach,Taxi driver,,"['Dutch', 'English']"
173,10000173,I would rather not say,21,MBO,International business,0,Belgium,Belgium,South-African,Gardener,Taxi driver,Exchange student,"['English', 'English', 'French', 'German']"
174,10000174,I would rather not say,24,MBO,International business,4,German,Belgium,Japanese,Taxi driver,,Worked in a foreign country,"['English', 'German']"
175,10000175,I would rather not say,24,HAVO,International business,0,Belgium,Dutch,British,Gardener,,Internship in a foreign country,"['English', 'English', 'German']"
176,10000176,I would rather not say,21,HAVO,International business,2,Belgium,Korean,South-African,Life coach,Taxi driver,Internship in a foreign country,"['English', 'French']"
177,10000177,I would rather not say,17,MBO,International business,1,South-African,British,Belgium,,Engineer,Internship in a foreign country,"['Dutch', 'English']"
178,10000178,I would rather not say,24,VWO,International business,1,Chinese,Korean,Dutch,Taxi driver,Marine,Internship in a foreign country,"['English', 'Mandarin']"
179,10000179,Male,17,Gymnasium,International business,2,Korean,Spain,German,Taxi driver,Life coach,Worked in a foreign country,"['English', 'Korean']"
180,10000180,I would rather not say,24,Gymnasium,International business,3,Belgium,German,South-African,Taxi driver,Taxi driver,Exchange student,"['English', 'English', 'French']"
181,10000181,I would rather not say,21,VWO,International business,4,South-African,German,Belgium,Taxi driver,Life coach,Worked in a foreign country,"['Dutch', 'English']"
182,10000182,I would rather not say,24,VWO,International business,4,Japanese,Korean,Dutch,,,Internship in a foreign country,"['English', 'Japanese']"
183,10000183,I would rather not say,21,MBO,International business,2,Belgium,Belgium,Chinese,,Engineer,Exchange student,"['English', 'English', 'French']"
184,10000184,I would rather not say,24,Gymnasium,International business,4,Belgium,Dutch,Japanese,Gardener,Life coach,Exchange student,"['English', 'English', 'French', 'German']"
185,10000185,Male,23,MBO,International business,2,USA,South-African,Chinese,Politician,Taxi driver,Worked in a foreign country,['English']
186,10000186,I would rather not say,19,MBO,International business,4,South-African,USA,Chinese,,,Exchange student,"['Dutch', 'English']"
187,10000187,I would rather not say,22,MBO,International business,1,Chinese,Dutch,German,,Gardener,,"['English', 'Mandarin']"
188,10000188,I would rather not say,20,VWO,International business,4,British,British,USA,Politician,Politician,Exchange student,['English']
189,10000189,I would rather not say,20,MBO,International business,2,German,Belgium,German,,Gardener,,"['English', 'German', 'French']"
190,10000190,I would rather not say,21,MBO,International business,0,USA,Korean,Spain,Doctor,Politician,Worked in a foreign country,['English']
191,10000191,I would rather not say,21,VWO,International business,2,Belgium,Spain,German,Gardener,Engineer,Worked in a foreign country,"['English', 'English', 'German']"
192,10000192,I would rather not say,24,Gymnasium,International business,2,Chinese,Spain,Japanese,Gardener,Engineer,Gap year,"['English', 'Mandarin']"
193,10000193,I would rather not say,19,Gymnasium,International business,4,Korean,Chinese,Spain,Doctor,Engineer,Gap year,"['English', 'Korean']"
194,10000194,I would rather not say,24,HAVO,International business,2,Korean,Japanese,Chinese,Politician,Politician,Exchange student,"['English', 'Korean']"
195,10000195,I would rather not say,21,Gymnasium,International business,2,Dutch,Japanese,Spain,Taxi driver,Gardener,Gap year,"['Dutch', 'English']"
196,10000196,I would rather not say,18,VWO,International business,4,South-African,South-African,USA,Taxi driver,Life coach,Gap year,"['Dutch', 'English']"
197,10000197,I would rather not say,20,VWO,International business,2,Japanese,Spain,German,Engineer,Taxi driver,Exchange student,"['English', 'Japanese']"
198,10000198,I would rather not say,20,VWO,International business,1,Spain,Spain,Korean,Marine,Taxi driver,,"['English', 'Spanish']"
199,10000199,I would rather not say,20,MBO,International business,0,Japanese,USA,Spain,,Taxi driver,Gap year,"['English', 'Japanese']"
200,10000200,I would rather not say,24,Gymnasium,International business,1,Chinese,Belgium,Belgium,,Life coach,Worked in a foreign country,"['English', 'Mandarin']"
201,10000201,I would rather not say,17,VWO,International business,4,Korean,British,USA,Politician,Politician,Exchange student,"['English', 'Korean']"
202,10000202,I would rather not say,20,VWO,International business,2,British,Korean,Korean,Doctor,Gardener,Internship in a foreign country,['English']
203,10000203,I would rather not say,23,MBO,International business,0,Chinese,USA,Korean,Gardener,Taxi driver,Worked in a foreign country,"['English', 'Mandarin']"
204,10000204,I would rather not say,19,MBO,International business,3,Japanese,Japanese,German,,Engineer,Worked in a foreign country,"['English', 'Japanese']"
205,10000205,I would rather not say,24,HAVO,International business,4,Korean,Japanese,Japanese,Marine,,Gap year,"['English', 'Korean']"
206,10000206,Female,24,MBO,International business,3,Chinese,Spain,Japanese,Taxi driver,Engineer,Worked in a foreign country,"['English', 'Mandarin']"
207,10000207,I would rather not say,18,VWO,International business,0,Spain,German,German,Engineer,Marine,Gap year,"['English', 'Spanish']"
208,10000208,I would rather not say,20,HAVO,International business,1,Spain,Korean,Dutch,,Doctor,,"['English', 'Spanish']"
209,10000209,I would rather not say,23,VWO,International business,2,German,South-African,Chinese,Doctor,Gardener,Internship in a foreign country,"['English', 'German', 'French']"
210,10000210,Female,17,Gymnasium,International business,2,USA,British,Dutch,Gardener,Politician,,"['English', 'Spanish']"
211,10000211,I would rather not say,17,Gymnasium,International business,0,Dutch,Dutch,USA,Engineer,,,"['Dutch', 'English', 'German']"
212,10000212,I would rather not say,18,HAVO,International business,3,South-African,German,Japanese,Taxi driver,Marine,,"['Dutch', 'English']"
213,10000213,I would rather not say,20,MBO,International business,2,USA,Chinese,Japanese,Taxi driver,Gardener,Worked in a foreign country,['English']
214,10000214,I would rather not say,22,HAVO,International business,0,South-African,German,USA,Marine,Gardener,Worked in a foreign country,"['Dutch', 'English']"
